"poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","hiv_prevalence","frequent_mental_distress","premature_death","mental_health_providers","GEOID"
0.156,4.0070846904294,5.0671641937655,NA,0.163,NA,0.00088339222614841,"02230"
0.183,4.09390810492653,4.40048968219733,NA,0.166,9720.37493911673,0.00200860832137733,"02240"
0.172,4.47450277167824,5.13802264668546,NA,0.177,10946.4856652214,0.0272506082725061,"02275"
0.199,4.66489584151228,5.42635053413792,NA,0.178,NA,0.00142045454545455,"02282"
0.27,5.80925214852669,6.27538597504654,NA,0.212,22703.5972415714,0.00227488151658768,"02290"
0.325,6.57419229470077,7.57548262958451,243.3,0.267,27851.4137739324,0.00114289197385063,"04001"
0.194,4.63547984514213,5.92922480214114,219.8,0.192,9423.84892418347,0.00134073780245934,"04003"
0.175,4.58506926209269,6.13529850146878,143.4,0.189,11546.4760589972,0.00231641066651959,"04005"
0.223,5.43086476252866,6.63814243804695,130.4,0.22,19407.3432816041,0.00082106402433335,"04007"
0.217,5.14374428728623,5.92838699857616,101.6,0.195,11352.5641255403,0.00040973111395646,"04009"
0.196,4.55456887611904,5.58516730613882,66.5,0.181,11216.5896136454,NA,"04011"
0.252,5.62913119316555,6.15713177298454,136.4,0.208,23645.1779305597,0.00097513408093612,"04012"
0.171,4.12529266871778,5.45172496611915,330.1,0.167,8525.31919690434,0.00178846716666059,"04013"
0.212,5.24932752554581,6.49557449957548,148.9,0.207,13412.6860816704,0.00076254524741377,"04015"
0.256,6.0288699749219,6.77277100365275,152.4,0.24,21728.2397519364,0.00098939406548494,"04017"
0.192,4.44955827015418,5.87239517007306,312.2,0.188,9749.81568295873,0.00216438694714029,"04019"
0.196,4.91427362415183,6.10378664207007,291.1,0.197,9284.83099236147,0.00085639863243148,"04021"
0.253,5.02236192705706,5.09450736382319,201.3,0.176,6446.78352332063,0.00041768477330158,"04023"
0.166,4.42197186671237,5.70256550592154,153.4,0.179,10159.8498910555,0.0020969812551341,"04025"
0.247,5.24841966228676,5.58141352875678,190.8,0.186,9875.91996983588,0.00077298420213536,"04027"
0.262,5.22037689257757,6.67059698738692,253.7,0.23,17354.8392880499,0.00119602918311207,"05001"
0.263,5.85822570796169,6.53799212057337,128.9,0.219,15009.0409239997,0.0008032558637678,"05003"
0.224,5.25093736440579,6.22145632095889,115.3,0.212,11056.8302889762,0.00301347760060744,"05005"
0.169,4.45877803482807,5.57224866299351,127.7,0.172,6948.47014865238,0.00231194584803127,"05007"
0.213,5.16857193447289,6.47179889033214,77.5,0.218,10888.5274447916,0.00150674068199841,"05009"
0.283,5.54572114663608,6.51409101668958,106.4,0.223,14248.8483045376,0.00067255956956187,"05011"
0.242,5.19290117638501,6.39130204213187,170.5,0.221,17436.8859153659,NA,"05013"
0.225,5.09191742546531,6.23410394922181,237.1,0.193,10688.1527552218,0.00080886231756637,"05015"
0.31,5.77905950237511,6.66723513585089,415.2,0.223,16984.7796444189,0.00568919053797784,"05017"
0.259,5.20027725944419,6.38805788820695,153.4,0.216,12303.7734651088,0.00300173537826556,"05019"
0.254,5.5091876657928,6.42070267323831,107.5,0.23,10838.2094098192,0.00097560975609756,"05021"
0.228,5.17745533562193,6.40268506132104,117.7,0.223,9759.34915986458,0.00115930441734959,"05023"
0.262,5.49896799126923,6.89875099969424,203.7,0.232,13719.8803906535,NA,"05025"
0.238,5.09461139224296,6.2209780706621,185.9,0.208,13621.5246844554,0.00194071983062809,"05027"
0.267,5.61763514425462,6.41325226483682,169.3,0.229,12472.4792297612,0.00268289177406219,"05029"
0.231,5.23763141943055,6.42087337302091,192.5,0.213,10319.6621439034,0.0040189630897004,"05031"
0.233,5.25803246908314,6.33138121749585,92.3,0.203,11457.1941625515,0.00057968134088575,"05033"
0.281,5.319583177094,6.44283051900648,573.5,0.228,17011.1022232391,0.00241977906365071,"05035"
0.255,5.48346836102475,6.72607164186306,223.3,0.218,13763.3253854252,0.00101912355374378,"05037"
0.254,4.95433907818082,6.1671832891917,NA,0.215,16219.4680490565,0.0033291058972733,"05039"
0.338,6.10096275066185,6.91538800879769,223.5,0.241,15390.2187075964,0.00072137060414788,"05041"
0.246,5.52829133910083,6.43457451089609,161.2,0.216,12652.1428103891,0.00637054354178843,"05043"
0.194,5.02362998975319,6.61080903534683,196.6,0.196,9025.90122709946,0.00185442744552619,"05045"
0.26,5.7696718394932,6.73948189499529,81.8,0.229,12985.1794371887,0.0001746928317708,"05047"
0.284,5.757413766791,6.77503965075952,113.5,0.242,12325.2429105747,0.00057636887608069,"05049"
0.199,4.81987159810475,6.33640618062814,238,0.204,14392.6541388663,0.00286056015150005,"05051"
0.208,4.84940217357258,6.13888002883703,155.3,0.213,11187.5930483009,0.00116086235489221,"05053"
0.243,5.4410690466243,6.60900135790807,121.3,0.229,10847.0582346446,0.00211585379018503,"05055"
