"FIPS","State","County","Deaths","Years_of_Potential_Life_Lost_Rate","Average_Number_of_Mentally_Unhealthy_Days","Primary_Care_Physicians_Rate","Mental_Health_Provider_Rate","Dentist_Rate","Preventable_Hospitalization_Rate","Pct_with_Annual_Mammogram","Pct_Uninsured","Pct_Households_with_Broadband_Access","Num_Completed_High_School"
"51117","Virginia","Mecklenburg",724,12700.35691,5.8007275831,56.20206,130.51423,29.50046,3216,50,9.4009517589,71.750653229,19606
"51119","Virginia","Middlesex",276,13582.442351,6.2313078408,37.10231,73.23325,45.69131,1719,55,11.1980987,81.914219311,7759
"51121","Virginia","Montgomery",990,6129.7766074,5.694449154,72.10098,355.74565,51.55942,2313,52,6.0624273751,91.097438131,53746
"51125","Virginia","Nelson",293,8481.3491012,5.8748970961,81.1359,136.00816,47.77505,2008,49,12.16464891,80.57187017,9880
"51127","Virginia","New Kent",339,7504.8511491,5.528435998,29.29238,145.40445,24.01345,2097,48,7.4799778371,88.963914102,16862
"51131","Virginia","Northampton",291,13341.581758,5.9746688984,107.57137,124.78163,142.85714,2291,52,9.9036467862,82.896215811,7901
"51133","Virginia","Northumberland",254,10386.15688,5.4694528205,83.13243,24.21112,130.06015,2516,50,9.7926717955,80.058866814,8582
"51135","Virginia","Nottoway",336,11495.936966,6.0160531031,38.47634,122.0609,44.99004,3688,39,9.367508759,71.868171886,9711
"51137","Virginia","Orange",642,10005.742142,5.8871727526,45.71367,77.77259,31.58643,2368,53,7.8879310345,91.572918797,24430
"51139","Virginia","Page",522,11040.892857,6.1626416388,25.20267,54.75759,16.84211,3552,40,8.9939604984,78.85161426,14595
"51141","Virginia","Patrick",444,13654.882522,6.1844266543,22.72469,68.53618,11.33594,2720,48,8.2081202046,80.094908298,11583
"51143","Virginia","Pittsylvania",1220,11015.342883,5.7909622059,8.33722,30.21604,8.34001,2368,46,8.7084463654,75.808874274,38507
"51145","Virginia","Powhatan",444,7780.3669637,5.4325034765,54.59918,56.06603,41.28426,1890,47,6.3242084433,90.512061699,21503
"51147","Virginia","Prince Edward",366,10738.39958,5.8499245659,63.83367,299.3333,41.04529,2805,42,8.3983117533,75.158730159,11368
"51149","Virginia","Prince George",479,7210.1198249,5.6576213524,16.32463,151.61764,37.09371,2378,42,6.4249340893,92.097814122,24989
"51153","Virginia","Prince William",4045,5612.7676129,4.9050271685,44.1718,175.63925,62.84103,2650,36,9.9334086146,96.242133382,282011
"51155","Virginia","Pulaski",824,11044.192561,5.9316206579,32.5839,50.51255,29.66831,3460,48,6.4704226485,79.59126929,23096
"51157","Virginia","Rappahannock",114,9336.2642626,5.6940781404,27.00149,107.90397,26.65956,3261,37,9.5700934579,89.199580566,5216
"51159","Virginia","Richmond",159,8751.6110405,5.7879348646,11.09016,185.10453,33.03965,3947,51,9.6140350877,79.733879222,5280
"51161","Virginia","Roanoke",1388,7603.7501198,5.4928547246,124.23775,329.8085,104.21611,2323,48,6.524096059,88.924574953,66005
"51163","Virginia","Rockbridge",402,10445.854858,5.7411528835,92.75209,4.47267,4.42615,1973,48,7.2645290581,83.438023451,15463
"51165","Virginia","Rockingham",1150,7167.1792597,5.8097727915,24.88329,32.34452,18.73602,3235,48,9.2557697816,85.256490265,50505
