"fips","year","CDCW_crude_death_rate"
1085,2017,1329.9
1087,2009,1288.3
1087,2010,1109.5
1087,2011,1137.8
1087,2012,1047
1087,2013,1193.6
1087,2014,1256.1
1087,2015,1209.1
1087,2016,1365.8
1087,2017,1162.4
1089,2009,758.3
1089,2010,786.1
1089,2011,765.6
1089,2012,798.1
1089,2013,804.3
1089,2014,829.9
1089,2015,855.3
1089,2016,919.4
1089,2017,883.3
1091,2009,1110.1
1091,2010,1193.7
1091,2011,1208.2
1091,2012,1176.4
1091,2013,1299.9
1091,2014,1282.9
1091,2015,1258.2
1091,2016,1372.4
1091,2017,1455.5
1093,2009,1279.1
1093,2010,1400.4
1093,2011,1431.7
1093,2012,1295.9
1093,2013,1292.3
1093,2014,1278.5
1093,2015,1461.8
1093,2016,1293.4
1093,2017,1404.5
1095,2009,1137.6
1095,2010,1110.5
1095,2011,1108.7
1095,2012,1144.8
1095,2013,1170.3
1095,2014,1126.4
1095,2015,1176
1095,2016,1247.4
1095,2017,1185.8
1097,2009,988.8
1097,2010,983.6
1097,2011,1001
1097,2012,1033
1097,2013,1028.5
1097,2014,1008.6
1097,2015,1031.5
1097,2016,1063.3
1097,2017,1039
1099,2009,1055.2
1099,2010,1244.1
1099,2011,1133.6
1099,2012,1243.3
1099,2013,1088.3
1099,2014,1212
1099,2015,1236.6
1099,2016,1100.8
1099,2017,1378.5
1101,2009,886.6
1101,2010,864.1
1101,2011,846
1101,2012,868.6
1101,2013,924.3
1101,2014,943.9
1101,2015,957.1
1101,2016,949.9
1101,2017,951.7
1103,2009,948.3
1103,2010,1052.8
1103,2011,993.7
1103,2012,1048.2
1103,2013,1015.1
1103,2014,1031.7
1103,2015,1112.4
1103,2016,1107.5
1103,2017,1172.4
1105,2009,1300.3
1105,2010,1406.9
1105,2011,1417.1
1105,2012,1384.9
1105,2013,1457.1
1105,2014,1353.6
1105,2015,1253.6
1105,2016,1347.4
1105,2017,1520.5
1107,2009,1261.7
1107,2010,1291.4
1107,2011,1348.9
1107,2012,1293.5
1107,2013,1257.7
1107,2014,1212.9
1107,2015,1284.5
1107,2016,1230.1
1107,2017,1021
1109,2009,961.3
1109,2010,975.7
1109,2011,932.7
1109,2012,928.2
1109,2013,1100.8
1109,2014,886.5
1109,2015,913.9
1109,2016,907.3
1109,2017,1013
1111,2009,1163.4
1111,2010,1300.6
1111,2011,1241.9
1111,2012,1168.7
1111,2013,1240.8
1111,2014,1371
1111,2015,1383.5
1111,2016,1302.3
1111,2017,1521.8
1113,2009,1081.2
1113,2010,1057.7
1113,2011,1061
1113,2012,982.4
1113,2013,788.8
1113,2014,796.9
1113,2015,1091.2
1113,2016,1129.4
1113,2017,1165.7
1115,2009,903.5
1115,2010,916.3
1115,2011,965.7
1115,2012,985.5
1115,2013,1028.9
1115,2014,1071.5
1115,2015,1038.2
1115,2016,1107.7
1115,2017,1068
1117,2009,591
1117,2010,593.6
1117,2011,651.7
1117,2012,662.9
1117,2013,635.2
1117,2014,647
1117,2015,646.8
1117,2016,707.4
1117,2017,688.7
1119,2009,1098.5
1119,2010,1082.6
1119,2011,1187.1
1119,2012,1139.5
1119,2013,1264.9
1119,2014,1063.3
1119,2015,1205.8
1119,2016,1257.7
1119,2017,1150.8
1121,2009,1138.2
1121,2010,1064.5
1121,2011,1176.8
1121,2012,1164.4
1121,2013,1276.3
1121,2014,1089.5
1121,2015,1249
1121,2016,1270.9
1121,2017,1311.4
1123,2009,1235.9
1123,2010,1220.7
1123,2011,1218.1
1123,2012,1280.1
1123,2013,1274.2
1123,2014,1207.3
1123,2015,1106.6
1123,2016,1446.2
1123,2017,1403.6
1125,2009,832.5
1125,2010,815.8
1125,2011,855.9
1125,2012,818.2
1125,2013,814.7
1125,2014,829.8
1125,2015,863.3
1125,2016,855.4
1125,2017,835.4
1127,2009,1349.7
1127,2010,1362.2
1127,2011,1497.1
1127,2012,1514.6
1127,2013,1518.2
1127,2014,1478.5
1127,2015,1615.8
1127,2016,1557.7
1127,2017,1695.3
1129,2009,1189
1129,2010,1205.8
1129,2011,1003.2
1129,2012,1215.7
1129,2013,1333.2
1129,2014,1229.7
1129,2015,1368.7
1129,2016,1265.2
1129,2017,1107
1131,2009,1053.1
1131,2010,1225.4
1131,2011,1367.4
1131,2012,1084.8
1131,2013,1477
1131,2014,1540.8
1131,2015,1311.1
1131,2016,1137.8
1131,2017,1362.1
1133,2009,1190.7
1133,2010,1409.1
1133,2011,1179.8
1133,2012,1314.9
1133,2013,1304.6
1133,2014,1200.8
1133,2015,1273.2
1133,2016,1361.1
1133,2017,1420.6
2013,2009,NA
2013,2010,NA
2013,2011,NA
2013,2012,NA
2013,2013,NA
2013,2014,NA
2013,2015,NA
2013,2016,NA
2013,2017,NA
2016,2009,NA
2016,2010,NA
2016,2011,NA
2016,2012,NA
2016,2013,NA
2016,2014,NA
2016,2015,NA
2016,2016,389.6
2016,2017,NA
2020,2009,476.6
2020,2010,488
2020,2011,502.4
2020,2012,502.7
2020,2013,526
2020,2014,537.2
2020,2015,555.1
2020,2016,578.2
2020,2017,591.8
2050,2009,563.5
2050,2010,593.7
2050,2011,562.7
2050,2012,642.4
2050,2013,506.8
2050,2014,576.4
2050,2015,629.7
2050,2016,679
2050,2017,663.9
2060,2009,NA
2060,2010,NA
2060,2011,NA
2060,2012,NA
2060,2013,NA
2060,2014,NA
2060,2015,NA
2060,2016,NA
2060,2017,NA
2068,2009,NA
2068,2010,NA
2068,2011,NA
2068,2012,NA
2068,2013,NA
2068,2014,NA
2068,2015,NA
2068,2016,NA
2068,2017,NA
2070,2009,586.3
2070,2010,763.4
2070,2011,743.7
2070,2012,615.8
2070,2013,818.4
2070,2014,541.3
2070,2015,840.5
2070,2016,625.8
2070,2017,729.9
2090,2009,440
2090,2010,400.7
2090,2011,428.5
2090,2012,454.8
2090,2013,443.1
2090,2014,472
2090,2015,473.7
2090,2016,510.9
2090,2017,480.4
2100,2009,NA
2100,2010,NA
2100,2011,1135.5
2100,2012,783.7
2100,2013,NA
2100,2014,974.3
2100,2015,NA
2100,2016,NA
2100,2017,NA
2105,2009,NA
2105,2010,NA
2105,2011,NA
2105,2012,NA
2105,2013,NA
2105,2014,960.6
2105,2015,NA
2105,2016,NA
2105,2017,NA
2110,2009,466.7
2110,2010,463.6
2110,2011,556.5
2110,2012,522.2
2110,2013,541.9
2110,2014,549.3
2110,2015,622.8
2110,2016,625.2
2110,2017,567.1
2122,2009,731.8
2122,2010,689.5
2122,2011,648.4
2122,2012,623.9
2122,2013,659.7
2122,2014,702.9
2122,2015,766.5
2122,2016,811.9
2122,2017,730.2
2130,2009,714.6
2130,2010,697.5
2130,2011,735.7
2130,2012,711.2
2130,2013,495.3
2130,2014,805.1
2130,2015,590.9
2130,2016,632.9
2130,2017,779.4
2150,2009,459.1
2150,2010,397.3
2150,2011,410.9
2150,2012,470.5
2150,2013,558.9
2150,2014,436.2
2150,2015,424.8
2150,2016,371.4
2150,2017,475.9
2164,2009,NA
2164,2010,NA
2164,2011,NA
2164,2012,NA
2164,2013,NA
2164,2014,NA
2164,2015,NA
2164,2016,NA
2164,2017,NA
2170,2009,471.9
2170,2010,545
2170,2011,539.4
2170,2012,547.2
2170,2013,573.6
2170,2014,550.7
2170,2015,574.7
2170,2016,582.6
2170,2017,560.4
2180,2009,816.1
2180,2010,853.4
2180,2011,791.4
2180,2012,675.7
2180,2013,657.1
2180,2014,550.1
2180,2015,548.4
2180,2016,887.4
2180,2017,806.4
2185,2009,538.2
2185,2010,540.8
2185,2011,399.9
2185,2012,425.2
2185,2013,443.9
2185,2014,422.5
2185,2015,671
2185,2016,635
2185,2017,480.5
2188,2009,656.2
2188,2010,571.6
2188,2011,543.1
2188,2012,601.8
2188,2013,494.5
2188,2014,518.3
2188,2015,619.2
2188,2016,729.8
2188,2017,689.7
2195,2009,NA
2195,2010,NA
2195,2011,NA
2195,2012,NA
2195,2013,NA
2195,2014,NA
2195,2015,849.9
2195,2016,730.4
2195,2017,731.5
2198,2009,NA
2198,2010,NA
2198,2011,NA
2198,2012,NA
2198,2013,NA
2198,2014,703.6
2198,2015,662.4
2198,2016,992.6
2198,2017,962.3
2201,2009,548.9
2201,2010,665.6
2201,2011,662.4
2201,2012,782.5
2201,2013,362.9
2201,2014,NA
2201,2015,NA
2201,2016,NA
2201,2017,NA
2220,2009,542.7
2220,2010,731.9
2220,2011,614.4
2220,2012,784.9
2220,2013,698.4
2220,2014,707.9
2220,2015,778.5
2220,2016,645.5
2220,2017,679
2230,2009,NA
2230,2010,NA
2230,2011,NA
2230,2012,NA
2230,2013,NA
2230,2014,NA
2230,2015,NA
2230,2016,NA
2230,2017,NA
