"GEOID","state","county","year","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
"12031","FL","Duval","2022",7.8,1.1804795895079,0,16056.1947633925,3.73916909976626,445.040805244477,39.1525730520119,72702.0981057238,0,10.3341288782816,15.6413545609796,1.14801336287554,1.3393489233548,27.5523207090131,0.0983732991256581,0.983732991256581
"12033","FL","Escambia","2022",8,1.84684712415122,0,18802.1349552755,3.95533092422386,416.4640264961,42.4774838554781,90404.0901507643,0,11.3440860215054,20.0075105116382,1.2172410015459,4.26034350541064,38.9517120494687,0,4.30930995635285
"12035","FL","Flagler","2022",NA,0.789234836825697,0,6996.56682845981,0.78134248845744,184.680951817213,16.5739315733396,34483.2484905884,0,8.46432889963724,18.9416360838167,0,0,4.60073305013265,0,0.789234836825697
"12037","FL","Franklin","2022",NA,8.00128020483277,0,2024.32389182269,2.00032005120819,104.016642662826,8.00128020483277,14746.3594175068,0,NA,NA,0,0,0,0,8.00128020483277
"12039","FL","Gadsden","2022",NA,2.3039882035804,2.3039882035804,2499.82720088473,22.7403635693385,76.0316107181531,4.6079764071608,0,0,14.8760330578512,NA,0,4.42654154309238,0,0,6.91196461074119
"12041","FL","Gilchrist","2022",NA,0,0,0,0,52.653748946925,26.3268744734625,0,0,9.54773869346734,NA,0,0,0,0,10.530749789385
"12043","FL","Glades","2022",NA,0,0,0,0,16.0590974787217,0,0,0,NA,NA,0,0,0,0,8.02954873936085
"12045","FL","Gulf","2022",NA,6.52997257411519,0,2775.23834399896,1.24069478908189,137.129424056419,6.52997257411519,72436.9857646598,0,8.92857142857143,NA,0,0,14.5475705557172,0,13.0599451482304
"12047","FL","Hamilton","2022",NA,0,0,0,0,22.6980404025119,0,0,0,15.4761904761905,NA,0,0,16.5289256198347,0,0
"12049","FL","Hardee","2022",NA,3.89939559368298,0,2487.81438876974,0.974848898420745,31.1951647494638,0,59528.1731331644,0,8.83190883190883,NA,0,0,0,0,7.79879118736596
"12051","FL","Hendry","2022",NA,2.41902319843247,0,1352.23396792375,0.532185103655144,58.0565567623793,7.25706959529742,38522.9444350371,0,8.95522388059701,NA,0,0,5.35790827261037,0,4.83804639686495
"12053","FL","Hernando","2022",5.8,1.93333848890264,0,16386.4936973165,2.6390070373521,197.683860490295,36.2500966669244,27067.2221792591,0,8.59085290482077,17.8833810223494,0.940371070424389,0.940371070424389,12.2248239155171,0,0.966669244451319
"12055","FL","Highlands","2022",NA,1.89361661837944,0,14248.5182449961,2.68893559809881,220.606336041205,17.042549565415,73512.0907421084,0,9.55259975816203,20.8297828021739,3.71222807929319,0,12.9927982775262,0,1.89361661837944
"12057","FL","Hillsborough","2022",6.6,0.925129898149806,0,13588.0436211963,3.30998261416599,450.00961474287,41.9612489517948,43474.5632230468,183.770446196758,9.09037420569546,13.5465449371936,0.521826706569016,1.95685014963381,30.7877756875719,0,1.85025979629961
"12059","FL","Holmes","2022",NA,5.08879955218564,0,2747.95175818025,1.01775991043713,66.1543941784133,5.08879955218564,13561.6508065747,0,7.46268656716418,NA,0,0,0,0,10.1775991043713
"12061","FL","Indian River","2022",NA,1.79262871074143,0,13136.9807352168,2.67699220804054,338.20928342655,24.4992590467996,37783.8328792007,0,8.63192182410423,20.9140016253167,1.15612282648909,3.46836847946726,17.3418423973363,0,5.37788613222429
"12063","FL","Jackson","2022",NA,2.07421542801435,0,5494.59666881002,1.41046649104976,105.784986828732,0,54707.4319138786,0,10.3813559322034,22.8163697081579,4.54731481060434,0,13.641944431813,0,4.14843085602871
"12065","FL","Jefferson","2022",NA,0,0,0,0,66.4805212072863,13.2961042414573,0,0,10.6060606060606,NA,0,0,0,0,0
"12067","FL","Lafayette","2022",NA,0,0,0,0,77.0613922424865,0,0,0,NA,NA,0,0,0,0,12.8435653737478
"12069","FL","Lake","2022",5.4,1.21909889086383,0,13858.9600111182,2.87707338243864,217.243422351934,19.2617624756485,59728.7748787606,0,8.70181405895692,15.604465803057,1.42633005277421,0.950886701849475,11.4106404221937,0,0.975279112691063
"12071","FL","Lee","2022",5.6,0.729524969815904,0,10873.812850096,2.50591827131763,286.946488127589,30.1536987523907,33493.8288266928,448.90103142672,8.79274249825541,17.5085992755817,0.47917734832839,1.43753204498517,15.5732638206727,0,4.62032480883406
"12073","FL","Leon","2022",9.4,1.68141265565678,0,14845.8649018559,2.76424240589974,425.733684412296,18.8318217433559,51126.3783380245,106.60156236864,11.2093352192362,13.1150187141229,0.638048083303558,2.55219233321423,22.9697309989281,0,3.69910784244491
"12075","FL","Levy","2022",NA,0,0,0,0,50.8174988952718,11.0472823685373,0,0,10.6329113924051,NA,0,0,0,0,4.41891294741494
"12077","FL","Liberty","2022",NA,0,0,0,0,0,13.1527028804419,0,0,NA,NA,0,0,0,0,39.4581086413258
"12079","FL","Madison","2022",NA,5.49510935267612,0,1736.45455544565,1.37377733816903,54.9510935267612,21.9804374107045,16018.2437630509,0,17.0212765957447,NA,0,0,0,0,10.9902187053522
"12081","FL","Manatee","2022",5.6,1.16516166618118,0,8618.23478007574,2.28138654238276,294.319836877367,50.5680163122633,30215.4383920769,0,8.76704703590315,15.6131663268278,0,1.3589603047695,18.11947073026,0,5.82580833090591
"12083","FL","Marion","2022",7,1.26130444105294,0,10256.9277146425,2.07358450109103,237.377495806163,23.9647843800058,21201.0140887706,0,8.73511060692002,21.6944363861105,0,0,7.31975112846163,0,2.27034799389529
"12085","FL","Martin","2022",NA,1.23452217819093,0,19156.0806389887,3.41962643358888,366.653086922707,49.9981482167327,83068.5283261114,0,7.02446724546172,20.9868770292458,1.22577560951692,1.22577560951692,20.8381853617877,0,1.23452217819093
"12086","FL","Miami-Dade","2022",4.7,0.934985939681439,0,10969.9656336568,2.80308784716495,505.52819786696,27.2267905635235,39949.5556385823,6432.55366725795,8.00490883590463,8.82626727059279,0.441258882173582,1.39731979354968,26.8432486655596,0.373994375872576,3.14155275732964
"12087","FL","Monroe","2022",NA,3.67161110295197,0,6121.79957898859,1.50536055221031,315.75855485387,25.7012777206638,51395.2122191218,0,5.92383638928068,24.4774073530132,0,2.55186669048409,12.7593334524204,0,2.44774073530132
"12089","FL","Nassau","2022",NA,1.0214608933697,0,3212.4945096477,0.551588882419637,188.970265273394,26.5579832276121,22553.8565256029,0,7.95180722891566,19.4077569740242,2.02130454995654,0,10.1065227497827,0,0
"12091","FL","Okaloosa","2022",6.4,1.8477286795207,0,10862.7969069022,2.25884831071405,297.484317402833,32.7971840614924,65578.6624292089,0,8.79877582249426,18.477286795207,0.942036494493797,2.82610948348139,18.8407298898759,0,0.461932169880175
"12093","FL","Okeechobee","2022",NA,2.47451252103336,0,10175.1954864892,2.47451252103336,133.623676135801,4.94902504206671,69650.1039295259,0,7.16981132075472,NA,0,0,0,0,4.94902504206671
"12095","FL","Orange","2022",5.8,0.619524948269667,0,19203.827838147,3.63661144634294,407.027891013171,29.3930169901275,75927.9451183499,1026.96585591502,9.15052898595558,9.84356306695137,0.271722147800545,1.35861073900273,30.8404637753619,0.0688361053632963,1.30788600190263
"12097","FL","Osceola","2022",4.4,0.946644736063615,0,7032.62374421659,1.3631684199316,160.219621578767,13.7263486729224,21516.5248671739,0,8.48856900931414,8.51980262457253,0.470820876197651,5.17902963817416,18.3620141717084,0.236661184015904,2.60327302417494
"12099","FL","Palm Beach","2022",4.6,1.05368734593939,0,12452.0819215569,2.63553547403089,435.304584791209,37.4059007808482,37314.5592590471,34.0472723656664,8.70215514310966,14.0930682519393,0.772178908705287,1.54435781741057,26.382779380764,0,1.44882010066665
"12101","FL","Pasco","2022",5,1.31407339756962,0,11795.615594109,2.22899700062747,194.318603665608,30.2236881441013,26913.5372556234,0,8.33176956276975,17.7399908671899,0.644672586909923,0.967008880364885,10.9594339774687,0,2.29962844574684
"12103","FL","Pinellas","2022",5.7,1.5596747142416,0,15326.9234168522,3.95533507531669,413.001864331175,63.8426849696227,49982.2716974148,5078.09291294208,8.51063829787234,18.3001833137681,0.604008198404613,2.01336066134871,23.354983671645,0.103978314282773,1.66365302852437
